pred,obs
13.961337376,20.418181203
14.186608261,20.755478603
14.449921659,20.96628219
14.39356512,19.526751404
21.509137428,18.524616854
21.448354732,20.12543058
21.859666178,20.04695758
21.104116269,20.189736588
17.876790143,14.442447317
20.863932227,16.340849511
21.982904835,20.475002979
22.745767187,20.094736053
8.918900022,6.215372059
15.409323404,11.571078078
15.804225554,14.939337086
15.804225554,16.26873649
13.293026623,11.875645722
13.214117015,12.043038958
14.519445808,14.336004447
14.817939199,12.276142392
13.952291695,11.889328934
14.039971633,13.18566664
17.729308381,17.597195535
17.12858278,19.261684003
19.690089126,24.559078441
18.71165118,21.527366187
16.774676427,19.854439327
16.384729291,18.693436187
18.311960015,22.608214753
17.660259326,20.767995778
19.676813259,18.408951869
19.169740738,15.795849138
20.669520264,19.849601731
19.881304391,16.045211579
17.729308381,19.261398326
17.12858278,15.658399058
19.690089126,21.840544483
18.71165118,19.505550643
25.368369865,24.470775238
25.368369865,20.214368563
22.962605675,24.124582973
25.368369865,22.042734077
27.675791975,20.386965841
25.368369865,23.374586084
25.368369865,24.828142117
26.28199853,18.58394464
24.3153334,25.622316285
27.822844521,26.536199258
21.530115602,23.130085417
23.010558538,27.439606094
27.227321182,27.68873173
20.335732133,24.584209262
24.359811836,21.767628523
28.255569631,20.591048382
22.279431845,18.424690178
10.560351804,7.712574535
13.351312572,14.974538386
11.282968637,12.019063905
14.2935017,16.588433571
11.099724009,8.259261415
14.088270995,13.890790773
10.851860874,7.818681159
13.503872302,12.007630141
15.99584991,31.358030922
15.063667592,21.720636897
15.093774848,24.271490366
17.013971573,22.894089092
17.536090133,20.184601146
17.536281365,20.431203681
